Area,fid,X,Y,6year,10year,30year,100year,1000year
224,140,490745.8442,379594.004,19.3,23,31.6,42.1,72.9
224,140,496659.0755,370611.4597,19.3,23,31.6,42.1,72.9
1,141,493621.6473,366972.2973,19.3,23,31.6,42.1,72.9
1,144,517788.6303,369364.3072,19.3,23,31.6,42.1,72.9
107,146,503435.6281,368842.5583,19.3,23,31.6,42.1,72.9
341,147,509418.6253,379732.1475,19.3,23,31.6,42.1,72.9
355,240,477266.8915,504542.0546,19.3,23,31.6,42.1,72.9
188,241,503886.095,488044.2905,19.3,23,31.6,42.1,72.9
188,241,503221.6408,487972.8248,19.3,23,31.6,42.1,72.9
258,242,502941.035,471022.5714,19.3,23,31.6,42.1,72.9
258,242,518000.534,467791.9894,19.3,23,31.6,42.1,72.9
446,243,525050.9033,432201.7456,19.3,23,31.6,42.1,72.9
312,244,416540.4563,516101.6778,19.3,23,31.6,42.1,72.9
524,245,389439.4259,524831.6797,19.3,23,31.6,42.1,72.9
524,245,378266.7939,522990.61,19.3,23,31.6,42.1,72.9
130,246,397563.1069,510556.0267,19.3,23,31.6,42.1,72.9
319,247,458946.3947,524179.2,19.3,23,31.6,42.1,72.9
319,247,454625.5594,519412.2932,19.3,23,31.6,42.1,72.9
319,247,469408.5335,516744.9574,19.3,23,31.6,42.1,72.9
401,248,465298.7033,420276.7388,19.3,23,31.6,42.1,72.9
251,249,453849.3072,425670.281,19.3,23,31.6,42.1,72.9
251,249,443405.3076,425082.268,19.3,23,31.6,42.1,72.9
251,249,445871.3852,421866.8259,19.3,23,31.6,42.1,72.9
209,250,459923.4303,433638.7939,19.3,23,31.6,42.1,72.9
200,251,514356.8149,440946.9996,19.3,23,31.6,42.1,72.9
817,252,500941.9373,450704.8566,19.3,23,31.6,42.1,72.9
817,252,504297.2222,438790.9356,19.3,23,31.6,42.1,72.9
817,252,509882.7186,430667.3507,19.3,23,31.6,42.1,72.9
385,253,488023.2386,434854.9657,19.3,23,31.6,42.1,72.9
484,254,370264.5035,589554.5865,19.3,23,31.6,42.1,72.9
375,255,430662.2801,556374.6192,19.3,23,31.6,42.1,72.9
375,255,438038.0669,556246.2138,19.3,23,31.6,42.1,72.9
375,255,427024.2886,551678.4966,19.3,23,31.6,42.1,72.9
375,255,431761.6414,548783.3494,19.3,23,31.6,42.1,72.9
375,255,427857.26,543228.4476,19.3,23,31.6,42.1,72.9
658,256,404827.0051,535192.3658,19.3,23,31.6,42.1,72.9
658,256,420450.0199,528421.2913,19.3,23,31.6,42.1,72.9
126,257,390949.0417,556973.5287,19.3,23,31.6,42.1,72.9
807,258,374669.0456,555470.6742,19.3,23,31.6,42.1,72.9
300,259,387459.45,575912.1409,19.3,23,31.6,42.1,72.9
346,260,384263.2581,596017.2578,19.3,23,31.6,42.1,72.9
52,261,445731.3531,516628.0378,19.3,23,31.6,42.1,72.9
52,261,446329.5442,515264.582,19.3,23,31.6,42.1,72.9
173,262,435396.3485,509896.9073,19.3,23,31.6,42.1,72.9
206,263,453167.638,507611.6398,19.3,23,31.6,42.1,72.9
207,264,430889.4758,525989.6016,19.3,23,31.6,42.1,72.9
207,264,427492.4872,524543.2376,19.3,23,31.6,42.1,72.9
207,264,428970.8028,515151.4779,19.3,23,31.6,42.1,72.9
177,265,416450.0979,544534.8358,19.3,23,31.6,42.1,72.9
256,266,441956.0854,540778.1397,19.3,23,31.6,42.1,72.9
256,266,444465.6957,537397.3078,19.3,23,31.6,42.1,72.9
256,266,450302.5575,531744.634,19.3,23,31.6,42.1,72.9
81,267,446684.4999,523520.7958,19.3,23,31.6,42.1,72.9
81,267,450427.2238,519863.4338,19.3,23,31.6,42.1,72.9
81,267,451028.8719,518625.614,19.3,23,31.6,42.1,72.9
143,268,439261.1596,522652.044,19.3,23,31.6,42.1,72.9
143,268,443436.3766,519843.5247,19.3,23,31.6,42.1,72.9
124,269,412837.9806,448917.0519,19.3,23,31.6,42.1,72.9
52,270,436851.6398,478000.294,19.3,23,31.6,42.1,72.9
222,271,445532.5316,486702.8385,19.3,23,31.6,42.1,72.9
110,272,465109.5162,475966.7611,19.3,23,31.6,42.1,72.9
49,273,442418.628,472095.3994,19.3,23,31.6,42.1,72.9
167,274,434538.3738,465557.4754,19.3,23,31.6,42.1,72.9
161,275,479307.757,484180.4932,19.3,23,31.6,42.1,72.9
488,276,493275.8635,484380.3634,19.3,23,31.6,42.1,72.9
738,277,404208.1372,485350.6143,19.3,23,31.6,42.1,72.9
223,278,437594.3973,496629.9509,19.3,23,31.6,42.1,72.9
49,279,433079.525,486480.2586,19.3,23,31.6,42.1,72.9
128,280,405709.7899,460069.9142,19.3,23,31.6,42.1,72.9
119,281,473813.3573,492230.2063,19.3,23,31.6,42.1,72.9
153,282,466944.0523,492367.1113,19.3,23,31.6,42.1,72.9
298,283,458146.2038,489708.446,19.3,23,31.6,42.1,72.9
120,284,422821.4155,471673.7942,19.3,23,31.6,42.1,72.9
105,285,461244.8046,446388.1226,19.3,23,31.6,42.1,72.9
140,286,443073.7042,440925.8903,19.3,23,31.6,42.1,72.9
174,287,462936.1507,462757.0608,19.3,23,31.6,42.1,72.9
174,287,460856.6453,452357.1255,19.3,23,31.6,42.1,72.9
113,288,455292.9468,453893.4983,19.3,23,31.6,42.1,72.9
99,289,470715.3757,435702.426,19.3,23,31.6,42.1,72.9
371,290,474976.9664,462731.7073,19.3,23,31.6,42.1,72.9
204,291,480195.9084,449670.6453,19.3,23,31.6,42.1,72.9
118,292,451540.1761,440588.5618,19.3,23,31.6,42.1,72.9
514,293,424804.163,461165.8275,19.3,23,31.6,42.1,72.9
514,293,430464.8629,455236.6424,19.3,23,31.6,42.1,72.9
78,294,446248.2137,461571.584,19.3,23,31.6,42.1,72.9
202,295,452764.9165,469785.48,19.3,23,31.6,42.1,72.9
133,296,418827.941,452603.5003,19.3,23,31.6,42.1,72.9
886,297,409343.8957,442793.5404,19.3,23,31.6,42.1,72.9
886,297,406152.0289,441168.1549,19.3,23,31.6,42.1,72.9
886,297,429932.57,434968.7169,19.3,23,31.6,42.1,72.9
886,297,421778.4038,433831.6115,19.3,23,31.6,42.1,72.9
886,297,415811.5762,433432.2556,19.3,23,31.6,42.1,72.9
886,297,426471.2839,427839.5894,19.3,23,31.6,42.1,72.9
963,298,408096.8268,425547.4416,19.3,23,31.6,42.1,72.9
963,298,423607.2252,425102.0798,19.3,23,31.6,42.1,72.9
963,298,414027.7368,423435.6817,19.3,23,31.6,42.1,72.9
963,298,439130.9756,423131.3147,19.3,23,31.6,42.1,72.9
963,298,424405.5155,421102.1216,19.3,23,31.6,42.1,72.9
963,298,432802.5932,421052.3444,19.3,23,31.6,42.1,72.9
963,298,413565.4348,420282.8529,19.3,23,31.6,42.1,72.9
963,298,414002.2472,417216.8055,19.3,23,31.6,42.1,72.9
133,299,434423.557,445509.9388,19.3,23,31.6,42.1,72.9
82,304,444770.24,395977.8067,19.3,23,31.6,42.1,72.9
82,304,442755.0467,392761.6903,19.3,23,31.6,42.1,72.9
320,305,435412.4817,407010.7446,19.3,23,31.6,42.1,72.9
320,305,435185.8454,406181.1465,19.3,23,31.6,42.1,72.9
320,305,443468.3155,401049.6801,19.3,23,31.6,42.1,72.9
423,306,428239.7772,393065.8349,19.3,23,31.6,42.1,72.9
423,306,436245.7108,386577.5559,19.3,23,31.6,42.1,72.9
401,307,440824.4713,375515.0484,19.3,23,31.6,42.1,72.9
401,307,437668.699,371895.7548,19.3,23,31.6,42.1,72.9
1,311,407285.3619,366908.8343,19.3,23,31.6,42.1,72.9
62,316,485124.2001,415917.2111,19.3,23,31.6,42.1,72.9
30,317,480151.5831,411190.5875,19.3,23,31.6,42.1,72.9
101,318,489742.3614,409878.0681,19.3,23,31.6,42.1,72.9
101,318,487828.359,408204.3046,19.3,23,31.6,42.1,72.9
166,319,421936.5583,490004.4605,19.3,23,31.6,42.1,72.9
611,320,406738.8792,500965.0471,19.3,23,31.6,42.1,72.9
80,321,399713.6379,465810.694,19.3,23,31.6,42.1,72.9
200,322,390944.4573,475317.2411,19.3,23,31.6,42.1,72.9
903,323,448123.3142,392462.4204,19.3,23,31.6,42.1,72.9
903,323,470330.5433,380982.0384,19.3,23,31.6,42.1,72.9
903,323,458739.2397,379718.8906,19.3,23,31.6,42.1,72.9
903,323,461132.766,377662.6712,19.3,23,31.6,42.1,72.9
515,324,482068.627,389992.273,19.3,23,31.6,42.1,72.9
515,324,479203.9602,371802.8386,19.3,23,31.6,42.1,72.9
51,325,453903.0838,401400.686,19.3,23,31.6,42.1,72.9
101,326,450302.7877,409022.2643,19.3,23,31.6,42.1,72.9
168,327,464774.4753,411754.3497,19.3,23,31.6,42.1,72.9
289,328,458958.1866,402196.0109,19.3,23,31.6,42.1,72.9
289,328,465398.0436,400735.1963,19.3,23,31.6,42.1,72.9
123,329,490106.0245,397759.8835,19.3,23,31.6,42.1,72.9
97,330,482389.4698,397504.2782,19.3,23,31.6,42.1,72.9
469,331,516198.532,417952.408,19.3,23,31.6,42.1,72.9
469,331,519513.8896,415172.0543,19.3,23,31.6,42.1,72.9
469,331,515063.6392,412264.1406,19.3,23,31.6,42.1,72.9
469,331,526099.4856,409010.9688,19.3,23,31.6,42.1,72.9
306,332,527716.6194,395254.1511,19.3,23,31.6,42.1,72.9
131,333,540113.7918,391945.0648,19.3,23,31.6,42.1,72.9
201,334,539256.8182,381869.9159,19.3,23,31.6,42.1,72.9
69,337,490904.4166,420219.5366,19.3,23,31.6,42.1,72.9
553,338,502954.6814,400053.5485,19.3,23,31.6,42.1,72.9
1,342,526395.5413,376607.5244,19.3,23,31.6,42.1,72.9
98,343,550650.228,379962.2545,19.3,23,31.6,42.1,72.9
144,344,548890.8612,371351.2719,19.3,23,31.6,42.1,72.9
1,345,538797.5544,369128.0027,19.3,23,31.6,42.1,72.9
1,345,556348.8522,366465.5698,19.3,23,31.6,42.1,72.9
281,356,414718.061,370726.3169,19.3,23,31.6,42.1,72.9
354,357,419179.756,383187.0663,19.3,23,31.6,42.1,72.9
1,391,384391.0719,367918.2392,19.3,23,31.6,42.1,72.9
650,392,365114.0216,366184.8964,19.3,23,31.6,42.1,72.9
477,394,329047.2699,391447.9408,19.3,23,31.6,42.1,72.9
477,394,330021.8926,388050.2859,19.3,23,31.6,42.1,72.9
477,394,334082.8669,382827.7365,19.3,23,31.6,42.1,72.9
477,394,326843.9965,382656.2937,19.3,23,31.6,42.1,72.9
477,394,340087.5676,376006.9022,19.3,23,31.6,42.1,72.9
477,394,340109.4538,375299.6843,19.3,23,31.6,42.1,72.9
145,395,358092.8673,375742.7415,19.3,23,31.6,42.1,72.9
209,396,375478.2655,375189.7859,19.3,23,31.6,42.1,72.9
208,397,365519.3083,400317.852,19.3,23,31.6,42.1,72.9
208,397,367791.8059,399031.5322,19.3,23,31.6,42.1,72.9
208,397,361750.2895,397791.6193,19.3,23,31.6,42.1,72.9
208,397,377342.3646,388780.3183,19.3,23,31.6,42.1,72.9
699,398,393950.1524,399761.0333,19.3,23,31.6,42.1,72.9
699,398,395273.937,394995.987,19.3,23,31.6,42.1,72.9
699,398,392169.9936,394983.1748,19.3,23,31.6,42.1,72.9
699,398,397283.8083,392028.5206,19.3,23,31.6,42.1,72.9
699,398,378360.7713,391527.0115,19.3,23,31.6,42.1,72.9
699,398,389339.4933,389972.3432,19.3,23,31.6,42.1,72.9
699,398,382951.7094,387336.9188,19.3,23,31.6,42.1,72.9
411,399,371510.2051,410014.4258,19.3,23,31.6,42.1,72.9
411,399,387126.4027,406091.9308,19.3,23,31.6,42.1,72.9
411,399,379630.3829,405885.2672,19.3,23,31.6,42.1,72.9
411,399,389886.2568,404651.6315,19.3,23,31.6,42.1,72.9
411,399,393034.7649,404577.2469,19.3,23,31.6,42.1,72.9
411,399,381246.2889,399408.5495,19.3,23,31.6,42.1,72.9
411,399,376367.2691,398599.1704,19.3,23,31.6,42.1,72.9
411,399,385618.2177,397187.3992,19.3,23,31.6,42.1,72.9
411,399,379546.551,396509.9562,19.3,23,31.6,42.1,72.9
411,399,375754.4706,395066.377,19.3,23,31.6,42.1,72.9
192,400,389141.4754,413793.4996,19.3,23,31.6,42.1,72.9
192,400,389166.7171,413181.8279,19.3,23,31.6,42.1,72.9
192,400,385024.8063,410180.6006,19.3,23,31.6,42.1,72.9
192,400,381478.0381,407539.3155,19.3,23,31.6,42.1,72.9
185,401,347877.745,391747.766,19.3,23,31.6,42.1,72.9
185,401,352229.8321,386573.4685,19.3,23,31.6,42.1,72.9
185,401,351400.1946,386230.8015,19.3,23,31.6,42.1,72.9
185,401,352870.6692,381725.4892,19.3,23,31.6,42.1,72.9
60,402,365723.3766,388312.1601,19.3,23,31.6,42.1,72.9
181,403,357411.025,399765.4406,19.3,23,31.6,42.1,72.9
181,403,354216.8182,396111.8733,19.3,23,31.6,42.1,72.9
181,403,351323.3459,394711.4989,19.3,23,31.6,42.1,72.9
181,403,362199.6849,390476.9847,19.3,23,31.6,42.1,72.9
290,404,380022.161,385159.4157,19.3,23,31.6,42.1,72.9
290,404,384551.981,381080.0205,19.3,23,31.6,42.1,72.9
290,404,385134.4147,379350.2895,19.3,23,31.6,42.1,72.9
290,404,391172.7503,373759.0382,19.3,23,31.6,42.1,72.9
315,417,340417.5208,366541.3446,19.3,23,31.6,42.1,72.9
140,421,354978.6835,484334.5415,19.3,23,31.6,42.1,72.9
287,422,349683.1696,497016.0799,19.3,23,31.6,42.1,72.9
287,422,351868.3241,492460.2478,19.3,23,31.6,42.1,72.9
155,423,340434.3191,482597.9102,19.3,23,31.6,42.1,72.9
100,424,362714.7736,482861.3697,19.3,23,31.6,42.1,72.9
205,425,372086.3805,490972.7272,19.3,23,31.6,42.1,72.9
228,426,362239.7001,503130.7284,19.3,23,31.6,42.1,72.9
164,427,350408.6864,470956.5317,19.3,23,31.6,42.1,72.9
686,428,299694.8701,527743.1089,19.3,23,31.6,42.1,72.9
686,428,320365.5148,524098.5265,19.3,23,31.6,42.1,72.9
622,429,320578.1748,547216.9237,19.3,23,31.6,42.1,72.9
66,430,336104.4416,558289.6379,19.3,23,31.6,42.1,72.9
96,431,344649.2156,558026.7169,19.3,23,31.6,42.1,72.9
326,432,335316.0919,499074.0584,19.3,23,31.6,42.1,72.9
907,433,318861.1263,491319.9939,19.3,23,31.6,42.1,72.9
907,433,320255.1619,469779.5049,19.3,23,31.6,42.1,72.9
143,434,307069.3425,514236.7307,19.3,23,31.6,42.1,72.9
86,435,298880.0796,517795.4803,19.3,23,31.6,42.1,72.9
86,435,298068.5129,517200.9336,19.3,23,31.6,42.1,72.9
145,436,352809.2158,432491.0374,19.3,23,31.6,42.1,72.9
145,436,354233.512,430722.6662,19.3,23,31.6,42.1,72.9
145,436,350556.1303,428448.223,19.3,23,31.6,42.1,72.9
145,436,356308.4011,425669.5147,19.3,23,31.6,42.1,72.9
147,437,368377.558,427861.7082,19.3,23,31.6,42.1,72.9
147,437,365689.4228,425411.1865,19.3,23,31.6,42.1,72.9
147,437,369312.9458,422429.3668,19.3,23,31.6,42.1,72.9
124,438,363611.9567,434720.1365,19.3,23,31.6,42.1,72.9
326,439,382772.9953,434563.804,19.3,23,31.6,42.1,72.9
326,439,383864.6738,432956.4552,19.3,23,31.6,42.1,72.9
326,439,376228.7734,428498.9805,19.3,23,31.6,42.1,72.9
165,440,381856.2232,423253.8046,19.3,23,31.6,42.1,72.9
165,440,380856.2806,420426.7311,19.3,23,31.6,42.1,72.9
510,441,334043.9928,415943.0039,19.3,23,31.6,42.1,72.9
510,441,341239.5465,407598.5598,19.3,23,31.6,42.1,72.9
510,441,329569.4641,407338.9994,19.3,23,31.6,42.1,72.9
510,441,337905.5082,403431.7958,19.3,23,31.6,42.1,72.9
510,441,332131.5228,399015.7268,19.3,23,31.6,42.1,72.9
510,441,341887.6041,398621.4639,19.3,23,31.6,42.1,72.9
510,441,334792.7392,397026.9365,19.3,23,31.6,42.1,72.9
510,441,343892.0283,391301.709,19.3,23,31.6,42.1,72.9
510,441,339257.546,389885.34,19.3,23,31.6,42.1,72.9
45,442,341275.5502,425859.2213,19.3,23,31.6,42.1,72.9
407,443,353896.2416,422344.5655,19.3,23,31.6,42.1,72.9
407,443,358254.6852,417556.9281,19.3,23,31.6,42.1,72.9
407,443,353647.4684,413309.867,19.3,23,31.6,42.1,72.9
407,443,348336.9262,406371.2007,19.3,23,31.6,42.1,72.9
407,443,357005.8773,405260.9596,19.3,23,31.6,42.1,72.9
