fid,X,Y,6year,10year,30year,100year,1000year
460,428059.4543,587057.3543,19.3,23,31.6,42.1,72.9
462,430436.5964,581089.3364,19.3,23,31.6,42.1,72.9
461,426135.9489,577178.0172,19.3,23,31.6,42.1,72.9
462,434319.9638,572350.2728,19.3,23,31.6,42.1,72.9
456,427747.8857,569652.6447,19.3,23,31.6,42.1,72.9
456,431813.4496,570009.0303,19.3,23,31.6,42.1,72.9
456,430809.4378,567467.1593,19.3,23,31.6,42.1,72.9
456,423527.6438,566309.2857,19.3,23,31.6,42.1,72.9
456,436961.6528,565151.4151,19.3,23,31.6,42.1,72.9
456,433556.4079,564086.5243,19.3,23,31.6,42.1,72.9
456,426272.5233,561121.8001,19.3,23,31.6,42.1,72.9
255,430662.2801,556374.6192,19.3,23,31.6,42.1,72.9
255,438038.0669,556246.2138,19.3,23,31.6,42.1,72.9
466,339946.564,555832.364,19.3,23,31.6,42.1,72.9
255,427024.2886,551678.4966,19.3,23,31.6,42.1,72.9
458,410470.8076,551102.3671,19.3,23,31.6,42.1,72.9
255,427857.26,543228.4476,19.3,23,31.6,42.1,72.9
266,441956.0854,540778.1397,19.3,23,31.6,42.1,72.9
266,450302.5575,531744.634,19.3,23,31.6,42.1,72.9
256,420450.0199,528421.2913,19.3,23,31.6,42.1,72.9
428,299694.8701,527743.1089,19.3,23,31.6,42.1,72.9
264,427492.4872,524543.2376,19.3,23,31.6,42.1,72.9
247,458946.3947,524179.2,19.3,23,31.6,42.1,72.9
267,446684.4999,523520.7958,19.3,23,31.6,42.1,72.9
245,378266.7939,522990.61,19.3,23,31.6,42.1,72.9
268,443436.3766,519843.5247,19.3,23,31.6,42.1,72.9
247,454625.5594,519412.2932,19.3,23,31.6,42.1,72.9
261,445731.3531,516628.0378,19.3,23,31.6,42.1,72.9
267,451028.8719,518625.614,19.3,23,31.6,42.1,72.9
435,298068.5129,517200.9336,19.3,23,31.6,42.1,72.9
264,428970.8028,515151.4779,19.3,23,31.6,42.1,72.9
422,351868.3241,492460.2478,19.3,23,31.6,42.1,72.9
241,503221.6408,487972.8248,19.3,23,31.6,42.1,72.9
433,320255.1619,469779.5049,19.3,23,31.6,42.1,72.9
242,518000.534,467791.9894,19.3,23,31.6,42.1,72.9
444,344473.4287,463757.6342,19.3,23,31.6,42.1,72.9
444,347893.2567,461655.3596,19.3,23,31.6,42.1,72.9
293,430464.8629,455236.6424,19.3,23,31.6,42.1,72.9
287,460856.6453,452357.1255,19.3,23,31.6,42.1,72.9
449,332445.7182,446655.8344,19.3,23,31.6,42.1,72.9
297,406152.0289,441168.1549,19.3,23,31.6,42.1,72.9
252,504297.2222,438790.9356,19.3,23,31.6,42.1,72.9
297,429932.57,434968.7169,19.3,23,31.6,42.1,72.9
297,421778.4038,433831.6115,19.3,23,31.6,42.1,72.9
449,332329.2832,435910.3902,19.3,23,31.6,42.1,72.9
439,383864.6738,432956.4552,19.3,23,31.6,42.1,72.9
297,415811.5762,433432.2556,19.3,23,31.6,42.1,72.9
436,352809.2158,432491.0374,19.3,23,31.6,42.1,72.9
252,509882.7186,430667.3507,19.3,23,31.6,42.1,72.9
436,354233.512,430722.6662,19.3,23,31.6,42.1,72.9
449,334083.9445,428723.0579,19.3,23,31.6,42.1,72.9
439,376228.7734,428498.9805,19.3,23,31.6,42.1,72.9
437,368377.558,427861.7082,19.3,23,31.6,42.1,72.9
297,426471.2839,427839.5894,19.3,23,31.6,42.1,72.9
436,356308.4011,425669.5147,19.3,23,31.6,42.1,72.9
298,408096.8268,425547.4416,19.3,23,31.6,42.1,72.9
249,443405.3076,425082.268,19.3,23,31.6,42.1,72.9
298,423607.2252,425102.0798,19.3,23,31.6,42.1,72.9
298,439130.9756,423131.3147,19.3,23,31.6,42.1,72.9
440,381856.2232,423253.8046,19.3,23,31.6,42.1,72.9
298,414027.7368,423435.6817,19.3,23,31.6,42.1,72.9
437,369312.9458,422429.3668,19.3,23,31.6,42.1,72.9
443,353896.2416,422344.5655,19.3,23,31.6,42.1,72.9
249,445871.3852,421866.8259,19.3,23,31.6,42.1,72.9
298,424405.5155,421102.1216,19.3,23,31.6,42.1,72.9
298,432802.5932,421052.3444,19.3,23,31.6,42.1,72.9
331,516198.532,417952.408,19.3,23,31.6,42.1,72.9
443,358254.6852,417556.9281,19.3,23,31.6,42.1,72.9
298,414002.2472,417216.8055,19.3,23,31.6,42.1,72.9
441,334043.9928,415943.0039,19.3,23,31.6,42.1,72.9
331,519513.8896,415172.0543,19.3,23,31.6,42.1,72.9
400,389166.7171,413181.8279,19.3,23,31.6,42.1,72.9
400,381478.0381,407539.3155,19.3,23,31.6,42.1,72.9
399,371510.2051,410014.4258,19.3,23,31.6,42.1,72.9
318,489742.3614,409878.0681,19.3,23,31.6,42.1,72.9
400,385024.8063,410180.6006,19.3,23,31.6,42.1,72.9
331,526099.4856,409010.9688,19.3,23,31.6,42.1,72.9
441,341239.5465,407598.5598,19.3,23,31.6,42.1,72.9
441,329569.4641,407338.9994,19.3,23,31.6,42.1,72.9
305,435412.4817,407010.7446,19.3,23,31.6,42.1,72.9
443,348336.9262,406371.2007,19.3,23,31.6,42.1,72.9
399,387126.4027,406091.9308,19.3,23,31.6,42.1,72.9
443,357005.8773,405260.9596,19.3,23,31.6,42.1,72.9
