fid,X,Y,6year,10year,30year,100year,1000year
460,428059.4543,587057.3543,34.8,39.4,50.8,65.4,106.7
462,430436.5964,581089.3364,34.8,39.4,50.8,65.4,106.7
461,426135.9489,577178.0172,34.8,39.4,50.8,65.4,106.7
462,434319.9638,572350.2728,34.8,39.4,50.8,65.4,106.7
456,427747.8857,569652.6447,34.8,39.4,50.8,65.4,106.7
456,431813.4496,570009.0303,34.8,39.4,50.8,65.4,106.7
456,430809.4378,567467.1593,34.8,39.4,50.8,65.4,106.7
456,423527.6438,566309.2857,34.8,39.4,50.8,65.4,106.7
456,436961.6528,565151.4151,34.8,39.4,50.8,65.4,106.7
456,433556.4079,564086.5243,34.8,39.4,50.8,65.4,106.7
456,426272.5233,561121.8001,34.8,39.4,50.8,65.4,106.7
255,430662.2801,556374.6192,34.8,39.4,50.8,65.4,106.7
255,438038.0669,556246.2138,34.8,39.4,50.8,65.4,106.7
466,339946.564,555832.364,34.8,39.4,50.8,65.4,106.7
255,427024.2886,551678.4966,34.8,39.4,50.8,65.4,106.7
458,410470.8076,551102.3671,34.8,39.4,50.8,65.4,106.7
255,427857.26,543228.4476,34.8,39.4,50.8,65.4,106.7
266,441956.0854,540778.1397,34.8,39.4,50.8,65.4,106.7
266,450302.5575,531744.634,34.8,39.4,50.8,65.4,106.7
256,420450.0199,528421.2913,34.8,39.4,50.8,65.4,106.7
428,299694.8701,527743.1089,34.8,39.4,50.8,65.4,106.7
264,427492.4872,524543.2376,34.8,39.4,50.8,65.4,106.7
247,458946.3947,524179.2,34.8,39.4,50.8,65.4,106.7
267,446684.4999,523520.7958,34.8,39.4,50.8,65.4,106.7
245,378266.7939,522990.61,34.8,39.4,50.8,65.4,106.7
268,443436.3766,519843.5247,34.8,39.4,50.8,65.4,106.7
247,454625.5594,519412.2932,34.8,39.4,50.8,65.4,106.7
261,445731.3531,516628.0378,34.8,39.4,50.8,65.4,106.7
267,451028.8719,518625.614,34.8,39.4,50.8,65.4,106.7
435,298068.5129,517200.9336,34.8,39.4,50.8,65.4,106.7
264,428970.8028,515151.4779,34.8,39.4,50.8,65.4,106.7
422,351868.3241,492460.2478,34.8,39.4,50.8,65.4,106.7
241,503221.6408,487972.8248,34.8,39.4,50.8,65.4,106.7
433,320255.1619,469779.5049,34.8,39.4,50.8,65.4,106.7
242,518000.534,467791.9894,34.8,39.4,50.8,65.4,106.7
444,344473.4287,463757.6342,34.8,39.4,50.8,65.4,106.7
444,347893.2567,461655.3596,34.8,39.4,50.8,65.4,106.7
293,430464.8629,455236.6424,34.8,39.4,50.8,65.4,106.7
287,460856.6453,452357.1255,34.8,39.4,50.8,65.4,106.7
449,332445.7182,446655.8344,34.8,39.4,50.8,65.4,106.7
297,406152.0289,441168.1549,34.8,39.4,50.8,65.4,106.7
252,504297.2222,438790.9356,34.8,39.4,50.8,65.4,106.7
297,429932.57,434968.7169,34.8,39.4,50.8,65.4,106.7
297,421778.4038,433831.6115,34.8,39.4,50.8,65.4,106.7
449,332329.2832,435910.3902,34.8,39.4,50.8,65.4,106.7
439,383864.6738,432956.4552,34.8,39.4,50.8,65.4,106.7
297,415811.5762,433432.2556,34.8,39.4,50.8,65.4,106.7
436,352809.2158,432491.0374,34.8,39.4,50.8,65.4,106.7
252,509882.7186,430667.3507,34.8,39.4,50.8,65.4,106.7
436,354233.512,430722.6662,34.8,39.4,50.8,65.4,106.7
449,334083.9445,428723.0579,34.8,39.4,50.8,65.4,106.7
439,376228.7734,428498.9805,34.8,39.4,50.8,65.4,106.7
437,368377.558,427861.7082,34.8,39.4,50.8,65.4,106.7
297,426471.2839,427839.5894,34.8,39.4,50.8,65.4,106.7
436,356308.4011,425669.5147,34.8,39.4,50.8,65.4,106.7
